order_id;checkout_id;brand_id;retailer_id;order_amount;has_discount;fees_percentage;payment_cost_percentage;shipping_cost_euro;net_margin;is_profitable
11347;3083;683;1463;160;0;0.15;0.05;14.8;1.2;1
9643;3411;14;6359;111.3;0;0.15;0.05;14.7634877;-3.6334877;0
8663;3092;852;6027;382.2;100;0.05;0.05;14.76;-114.76;0
7275;2662;644;4416;116.56;0;0.15;0.05;14.75;-3.094;0
11484;3946;852;7010;421.71;100;0.05;0.05;14.75;-114.75;0
9736;3430;365;6419;108;0;0.15;0.05;14.733756;-3.933756;0
3696;775;645;518;232.49;0;0.15;0.05;14.72;8.529;1
5574;2128;415;4418;130.8;0;0.15;0.05;14.7130471;-1.6330471;0
8464;2152;586;4882;616.42;0;0.15;0.05;14.7;46.942;1
10708;3581;134;6119;177.6;0;0.15;0.05;14.699367;3.060633;1
6635;2471;929;5250;100;0;0.15;0.05;14.69;-4.69;0
2783;1112;535;149;112.8;0;0.15;0.05;14.64;-3.36;0
1142;609;21;1578;132;100;0.05;0.05;14.6;-114.6;0
1687;809;21;2016;139.2;100;0.05;0.05;14.6;-114.6;0
9106;3230;967;6195;222.39;0;0.15;0.05;14.6;7.639;1
6859;2125;379;1249;220.8;0;0.15;0.05;14.59;7.49;1
7188;1338;379;3285;457.2;0;0.15;0.05;14.59;31.13;1
2141;979;19;2316;147.48;0;0.15;0.05;14.57;0.178;1
1289;653;9;1022;138.42;0;0.15;0.05;14.56;-0.718;0
4889;2237;77;2133;180.21;0;0.15;0.05;14.56;3.461;1
1751;834;111;2055;169.71;100;0.05;0.05;14.56;-114.56;0
7895;2852;319;5706;386.4;0;0.15;0.05;14.56;24.08;1
7347;2132;374;4854;144;100;0.05;0.05;14.56;-114.56;0
6575;2393;536;2053;130.44;0;0.15;0.05;14.56;-1.516;0
2381;1071;178;2333;128;0;0.15;0.05;14.55;-1.75;0
7119;2629;178;5440;280.6;0;0.15;0.05;14.55;13.51;1
3407;1476;369;2173;399.21;0;0.15;0.05;14.55;25.371;1
